County	Year	Deaths
Champaign County, IL	2007	13.0
Champaign County, IL	2008	10.0
Champaign County, IL	2009	15.0
Champaign County, IL	2010	11.0
Champaign County, IL	2011	18.0
Champaign County, IL	2012	16.0
Champaign County, IL	2013	19.0
Champaign County, IL	2014	29.0
Champaign County, IL	2015	29.0
Champaign County, OH	2014	11.0
Charlotte County, FL	2004	17.0
Charlotte County, FL	2005	11.0
Charlotte County, FL	2006	15.0
Charlotte County, FL	2007	17.0
Charlotte County, FL	2008	20.0
Charlotte County, FL	2009	17.0
Charlotte County, FL	2010	17.0
Charlotte County, FL	2011	27.0
Charlotte County, FL	2012	13.0
Charlotte County, FL	2013	12.0
Charlotte County, FL	2014	22.0
Charlotte County, FL	2015	11.0
Cheatham County, TN	2008	10.0
Cheatham County, TN	2010	10.0
Cheatham County, TN	2011	12.0
Cheatham County, TN	2013	12.0
Cheatham County, TN	2014	16.0
Cheatham County, TN	2015	15.0
Chelan County, WA	2010	11.0
Chelan County, WA	2011	10.0
Citrus County, FL	2003	16.0
Citrus County, FL	2004	12.0
Citrus County, FL	2005	14.0
Citrus County, FL	2006	23.0
Citrus County, FL	2007	17.0
Citrus County, FL	2008	25.0
Citrus County, FL	2009	19.0
Citrus County, FL	2010	27.0
Citrus County, FL	2011	29.0
Citrus County, FL	2012	37.0
Citrus County, FL	2013	24.0
Citrus County, FL	2014	24.0
Citrus County, FL	2015	25.0
Clackamas County, OR	2003	28.0
Clackamas County, OR	2004	28.0
Clackamas County, OR	2005	23.0
Clackamas County, OR	2006	34.0
Clackamas County, OR	2007	32.0
Clackamas County, OR	2008	25.0
Clackamas County, OR	2009	32.0
Clackamas County, OR	2010	43.0
Clackamas County, OR	2011	34.0
Clackamas County, OR	2012	22.0
Clackamas County, OR	2013	38.0
Clackamas County, OR	2014	46.0
Clackamas County, OR	2015	26.0
Claiborne County, TN	2014	10.0
Claiborne County, TN	2015	11.0
Clallam County, WA	2004	11.0
Clallam County, WA	2005	10.0
Clallam County, WA	2006	15.0
Clallam County, WA	2007	19.0
Clallam County, WA	2008	17.0
Clallam County, WA	2009	13.0
Clallam County, WA	2010	11.0
Clallam County, WA	2012	12.0
Clallam County, WA	2013	15.0
Clallam County, WA	2015	12.0
Clark County, OH	2003	11.0
Clark County, OH	2004	25.0
Clark County, OH	2005	15.0
Clark County, OH	2006	18.0
Clark County, OH	2007	20.0
Clark County, OH	2008	19.0
Clark County, OH	2009	12.0
Clark County, OH	2010	20.0
Clark County, OH	2011	34.0
Clark County, OH	2012	36.0
Clark County, OH	2013	28.0
Clark County, OH	2014	38.0
Clark County, OH	2015	71.0
Clark County, WA	2003	40.0
Clark County, WA	2004	27.0
Clark County, WA	2005	40.0
Clark County, WA	2006	48.0
Clark County, WA	2007	55.0
Clark County, WA	2008	61.0
Clark County, WA	2009	59.0
Clark County, WA	2010	50.0
Clark County, WA	2011	55.0
Clark County, WA	2012	62.0
Clark County, WA	2013	57.0
Clark County, WA	2014	59.0
Clark County, WA	2015	59.0
Clatsop County, OR	2011	11.0
Clay County, FL	2003	16.0
Clay County, FL	2004	22.0
Clay County, FL	2005	14.0
Clay County, FL	2006	15.0
Clay County, FL	2007	26.0
Clay County, FL	2008	19.0
Clay County, FL	2009	29.0
Clay County, FL	2010	20.0
Clay County, FL	2011	23.0
Clay County, FL	2012	28.0
Clay County, FL	2013	31.0
Clay County, FL	2014	26.0
Clay County, FL	2015	41.0
Clermont County, OH	2003	11.0
Clermont County, OH	2004	26.0
Clermont County, OH	2005	22.0
Clermont County, OH	2006	31.0
Clermont County, OH	2007	39.0
Clermont County, OH	2008	39.0
Clermont County, OH	2009	23.0
Clermont County, OH	2010	50.0
Clermont County, OH	2011	46.0
Clermont County, OH	2012	57.0
Clermont County, OH	2013	65.0
Clermont County, OH	2014	80.0
Clermont County, OH	2015	102.0
Clinton County, OH	2004	12.0
Clinton County, OH	2008	10.0
Clinton County, OH	2012	11.0
Clinton County, OH	2013	16.0
Clinton County, OH	2014	13.0
Clinton County, OH	2015	21.0
Cocke County, TN	2012	11.0
Cocke County, TN	2014	12.0
Coffee County, TN	2012	10.0
Coffee County, TN	2015	12.0
Collier County, FL	2003	29.0
Collier County, FL	2004	29.0
Collier County, FL	2005	43.0
Collier County, FL	2006	43.0
Collier County, FL	2007	38.0
Collier County, FL	2008	63.0
Collier County, FL	2009	54.0
Collier County, FL	2010	36.0
Collier County, FL	2011	41.0
Collier County, FL	2012	31.0
Collier County, FL	2013	29.0
Collier County, FL	2014	41.0
Collier County, FL	2015	48.0
Collin County, TX	2003	26.0
Collin County, TX	2004	40.0
Collin County, TX	2005	32.0
Collin County, TX	2006	24.0
Collin County, TX	2007	23.0
Collin County, TX	2008	34.0
Collin County, TX	2009	55.0
Collin County, TX	2010	53.0
Collin County, TX	2011	68.0
Collin County, TX	2012	66.0
Collin County, TX	2013	59.0
Collin County, TX	2014	70.0
Collin County, TX	2015	72.0
Columbia County, FL	2005	10.0
Columbia County, FL	2008	10.0
Columbia County, FL	2010	17.0
Columbia County, FL	2012	16.0
Columbia County, FL	2013	11.0
Columbia County, FL	2014	11.0
Columbia County, FL	2015	10.0
Columbiana County, OH	2011	18.0
Columbiana County, OH	2012	18.0
Columbiana County, OH	2013	27.0
Columbiana County, OH	2014	19.0
Columbiana County, OH	2015	30.0
Comal County, TX	2003	10.0
Comal County, TX	2006	15.0
Comal County, TX	2010	18.0
Comal County, TX	2011	10.0
Comal County, TX	2012	12.0
Comal County, TX	2015	11.0
Cook County, IL	2003	454.0
Cook County, IL	2004	512.0
Cook County, IL	2005	529.0
Cook County, IL	2006	770.0
Cook County, IL	2007	538.0
Cook County, IL	2008	553.0
Cook County, IL	2009	541.0
Cook County, IL	2010	502.0
Cook County, IL	2011	516.0
Cook County, IL	2012	630.0
Cook County, IL	2013	638.0
Cook County, IL	2014	636.0
Cook County, IL	2015	707.0
Cooke County, TX	2008	10.0
Cowlitz County, WA	2004	17.0
Cowlitz County, WA	2005	24.0
Cowlitz County, WA	2006	20.0
Cowlitz County, WA	2007	15.0
Cowlitz County, WA	2008	20.0
Cowlitz County, WA	2009	18.0
Cowlitz County, WA	2010	14.0
Cowlitz County, WA	2011	27.0
Cowlitz County, WA	2012	23.0
Cowlitz County, WA	2013	21.0
Cowlitz County, WA	2014	21.0
Cowlitz County, WA	2015	15.0
Crawford County, OH	2007	12.0
Crawford County, OH	2015	10.0
Cumberland County, TN	2011	10.0
Cumberland County, TN	2012	13.0
Cumberland County, TN	2014	14.0
Cuyahoga County, OH	2003	99.0
Cuyahoga County, OH	2004	146.0
Cuyahoga County, OH	2005	140.0
Cuyahoga County, OH	2006	183.0
Cuyahoga County, OH	2007	150.0
Cuyahoga County, OH	2008	176.0
Cuyahoga County, OH	2009	134.0
Cuyahoga County, OH	2010	180.0
Cuyahoga County, OH	2011	225.0
Cuyahoga County, OH	2012	242.0
Cuyahoga County, OH	2013	278.0
Cuyahoga County, OH	2014	280.0
Cuyahoga County, OH	2015	297.0
Dallas County, TX	2003	199.0
Dallas County, TX	2004	198.0
Dallas County, TX	2005	242.0
Dallas County, TX	2006	237.0
Dallas County, TX	2007	237.0
Dallas County, TX	2008	195.0
Dallas County, TX	2009	216.0
Dallas County, TX	2010	213.0
Dallas County, TX	2011	252.0
Dallas County, TX	2012	275.0
Dallas County, TX	2013	260.0
Dallas County, TX	2014	353.0
Dallas County, TX	2015	295.0
Darke County, OH	2014	11.0
Darke County, OH	2015	13.0
Davidson County, TN	2003	72.0
Davidson County, TN	2004	81.0
Davidson County, TN	2005	88.0
Davidson County, TN	2006	99.0
Davidson County, TN	2007	86.0
Davidson County, TN	2008	67.0
Davidson County, TN	2009	101.0
Davidson County, TN	2010	88.0
Davidson County, TN	2011	101.0
Davidson County, TN	2012	109.0
Davidson County, TN	2013	113.0
Davidson County, TN	2014	126.0
Davidson County, TN	2015	159.0
DeKalb County, IL	2011	11.0
DeKalb County, TN	2014	10.0
Delaware County, OH	2007	11.0
Delaware County, OH	2008	11.0
Delaware County, OH	2009	12.0
Delaware County, OH	2010	13.0
Delaware County, OH	2011	11.0
Delaware County, OH	2012	17.0
Delaware County, OH	2013	15.0
Delaware County, OH	2014	12.0
Delaware County, OH	2015	12.0
Denton County, TX	2003	18.0
Denton County, TX	2004	18.0
Denton County, TX	2005	32.0
Denton County, TX	2006	25.0
Denton County, TX	2007	32.0
Denton County, TX	2008	39.0
Denton County, TX	2009	37.0
Denton County, TX	2010	43.0
Denton County, TX	2011	70.0
Denton County, TX	2012	46.0
Denton County, TX	2013	43.0
Denton County, TX	2014	48.0
Denton County, TX	2015	57.0
Deschutes County, OR	2008	10.0
Deschutes County, OR	2010	17.0
Deschutes County, OR	2011	15.0
Deschutes County, OR	2013	13.0
Deschutes County, OR	2014	10.0
Dickson County, TN	2008	12.0
Dickson County, TN	2014	10.0
Dickson County, TN	2015	17.0
Douglas County, KS	2012	11.0
Douglas County, KS	2013	10.0
Douglas County, KS	2015	11.0
Douglas County, NE	2004	13.0
Douglas County, NE	2005	27.0
Douglas County, NE	2006	31.0
Douglas County, NE	2007	32.0
Douglas County, NE	2008	30.0
Douglas County, NE	2009	36.0
Douglas County, NE	2010	35.0
Douglas County, NE	2011	46.0
Douglas County, NE	2012	52.0
Douglas County, NE	2013	27.0
Douglas County, NE	2014	48.0
Douglas County, NE	2015	42.0
Douglas County, OR	2003	10.0
Douglas County, OR	2015	11.0
DuPage County, IL	2003	48.0
DuPage County, IL	2004	44.0
DuPage County, IL	2005	56.0
DuPage County, IL	2006	70.0
DuPage County, IL	2007	64.0
DuPage County, IL	2008	81.0
DuPage County, IL	2009	55.0
DuPage County, IL	2010	74.0
DuPage County, IL	2011	86.0
DuPage County, IL	2012	108.0
DuPage County, IL	2013	86.0
DuPage County, IL	2014	81.0
DuPage County, IL	2015	108.0
Duval County, FL	2003	127.0
Duval County, FL	2004	109.0
Duval County, FL	2005	102.0
Duval County, FL	2006	158.0
Duval County, FL	2007	140.0
Duval County, FL	2008	108.0
Duval County, FL	2009	137.0
Duval County, FL	2010	146.0
Duval County, FL	2011	147.0
Duval County, FL	2012	165.0
Duval County, FL	2013	142.0
Duval County, FL	2014	146.0
Duval County, FL	2015	169.0
Ector County, TX	2003	15.0
Ector County, TX	2004	11.0
Ector County, TX	2005	12.0
Ector County, TX	2006	22.0
Ector County, TX	2007	21.0
Ector County, TX	2008	13.0
Ector County, TX	2009	13.0
Ector County, TX	2010	15.0
Ector County, TX	2011	16.0
Ector County, TX	2012	13.0
Ector County, TX	2013	16.0
Ector County, TX	2014	29.0
Ector County, TX	2015	12.0
El Paso County, TX	2003	52.0
El Paso County, TX	2004	26.0
El Paso County, TX	2005	40.0
El Paso County, TX	2006	70.0
El Paso County, TX	2007	48.0
El Paso County, TX	2008	60.0
El Paso County, TX	2009	55.0
El Paso County, TX	2010	46.0
El Paso County, TX	2011	52.0
El Paso County, TX	2012	47.0
El Paso County, TX	2013	62.0
El Paso County, TX	2014	74.0
El Paso County, TX	2015	57.0
Ellis County, TX	2010	10.0
Erie County, OH	2010	18.0
Erie County, OH	2011	12.0
Erie County, OH	2012	12.0
Erie County, OH	2013	16.0
Erie County, OH	2014	17.0
Erie County, OH	2015	23.0
Escambia County, FL	2003	27.0
Escambia County, FL	2004	33.0
Escambia County, FL	2005	32.0
Escambia County, FL	2006	45.0
Escambia County, FL	2007	31.0
Escambia County, FL	2008	28.0
Escambia County, FL	2009	16.0
Escambia County, FL	2010	25.0
Escambia County, FL	2011	29.0
Escambia County, FL	2012	25.0
Escambia County, FL	2013	17.0
Escambia County, FL	2014	35.0
Escambia County, FL	2015	51.0
Fairfield County, OH	2004	13.0
Fairfield County, OH	2007	13.0
Fairfield County, OH	2009	11.0
Fairfield County, OH	2010	15.0
Fairfield County, OH	2011	12.0
Fairfield County, OH	2012	19.0
Fairfield County, OH	2013	17.0
Fairfield County, OH	2014	15.0
Fairfield County, OH	2015	13.0
Fayette County, OH	2014	12.0
Fayette County, OH	2015	16.0
Fayette County, WV	2007	14.0
Fayette County, WV	2008	12.0
Fayette County, WV	2010	15.0
Fayette County, WV	2011	18.0
Fayette County, WV	2012	21.0
Fayette County, WV	2013	22.0
Fayette County, WV	2014	16.0
Fayette County, WV	2015	10.0
Flagler County, FL	2011	16.0
Flagler County, FL	2015	11.0
Fort Bend County, TX	2003	11.0
Fort Bend County, TX	2005	13.0
Fort Bend County, TX	2006	18.0
Fort Bend County, TX	2007	19.0
Fort Bend County, TX	2008	13.0
Fort Bend County, TX	2009	25.0
Fort Bend County, TX	2010	32.0
Fort Bend County, TX	2011	30.0
Fort Bend County, TX	2012	16.0
Fort Bend County, TX	2013	15.0
Fort Bend County, TX	2014	31.0
Fort Bend County, TX	2015	33.0
Franklin County, IL	2015	10.0
Franklin County, OH	2003	74.0
Franklin County, OH	2004	106.0
Franklin County, OH	2005	156.0
Franklin County, OH	2006	179.0
Franklin County, OH	2007	210.0
Franklin County, OH	2008	194.0
Franklin County, OH	2009	131.0
Franklin County, OH	2010	239.0
Franklin County, OH	2011	244.0
Franklin County, OH	2012	232.0
Franklin County, OH	2013	219.0
Franklin County, OH	2014	221.0
Franklin County, OH	2015	322.0
Franklin County, TN	2006	10.0
Franklin County, TN	2014	11.0
Franklin County, TN	2015	11.0
Fremont County, WY	2015	10.0
Galveston County, TX	2003	27.0
Galveston County, TX	2004	29.0
Galveston County, TX	2005	44.0
Galveston County, TX	2006	49.0
Galveston County, TX	2007	49.0
Galveston County, TX	2008	37.0
Galveston County, TX	2009	34.0
Galveston County, TX	2010	48.0
Galveston County, TX	2011	42.0
Galveston County, TX	2012	36.0
Galveston County, TX	2013	37.0
Galveston County, TX	2014	43.0
Galveston County, TX	2015	49.0
Geauga County, OH	2011	10.0
Geauga County, OH	2013	11.0
Geauga County, OH	2014	11.0
Geauga County, OH	2015	14.0
Grant County, WA	2004	14.0
Grant County, WA	2005	13.0
Grant County, WA	2006	11.0
Grant County, WA	2007	11.0
Grant County, WA	2008	11.0
Grant County, WA	2009	17.0
Grant County, WA	2015	11.0
Grays Harbor County, WA	2004	17.0
Grays Harbor County, WA	2008	12.0
Grays Harbor County, WA	2009	16.0
Grays Harbor County, WA	2011	10.0
Grays Harbor County, WA	2012	11.0
Grays Harbor County, WA	2013	12.0
Grays Harbor County, WA	2014	15.0
Grays Harbor County, WA	2015	15.0
Grayson County, TX	2006	11.0
Grayson County, TX	2009	17.0
Grayson County, TX	2010	14.0
Grayson County, TX	2011	17.0
Grayson County, TX	2012	15.0
Grayson County, TX	2013	18.0
Grayson County, TX	2014	12.0
Greenbrier County, WV	2011	12.0
Greenbrier County, WV	2015	10.0
Greene County, OH	2003	15.0
Greene County, OH	2004	16.0
Greene County, OH	2005	20.0
Greene County, OH	2006	21.0
Greene County, OH	2007	20.0
Greene County, OH	2008	31.0
Greene County, OH	2009	17.0
Greene County, OH	2010	28.0
Greene County, OH	2011	23.0
Greene County, OH	2012	23.0
Greene County, OH	2013	21.0
Greene County, OH	2014	40.0
Greene County, OH	2015	43.0
Greene County, TN	2004	11.0
Greene County, TN	2007	13.0
Greene County, TN	2008	10.0
Greene County, TN	2009	10.0
Greene County, TN	2011	12.0
Greene County, TN	2012	15.0
Greene County, TN	2013	10.0
Greene County, TN	2014	18.0
Gregg County, TX	2005	13.0
Gregg County, TX	2009	13.0
Gregg County, TX	2011	13.0
Grundy County, IL	2012	13.0
Guadalupe County, TX	2006	10.0
Guadalupe County, TX	2009	11.0
Guadalupe County, TX	2010	11.0
Guadalupe County, TX	2011	11.0
Guadalupe County, TX	2012	10.0
Guernsey County, OH	2010	12.0
Hamblen County, TN	2007	20.0
Hamblen County, TN	2010	13.0
Hamblen County, TN	2011	24.0
Hamblen County, TN	2012	22.0
Hamblen County, TN	2014	21.0
Hamblen County, TN	2015	15.0
Hamilton County, OH	2003	73.0
Hamilton County, OH	2004	92.0
Hamilton County, OH	2005	103.0
Hamilton County, OH	2006	116.0
Hamilton County, OH	2007	109.0
Hamilton County, OH	2008	125.0
Hamilton County, OH	2009	80.0
Hamilton County, OH	2010	114.0
Hamilton County, OH	2011	180.0
Hamilton County, OH	2012	173.0
Hamilton County, OH	2013	237.0
Hamilton County, OH	2014	248.0
Hamilton County, OH	2015	349.0
Hamilton County, TN	2003	28.0
Hamilton County, TN	2004	18.0
Hamilton County, TN	2005	27.0
Hamilton County, TN	2006	33.0
Hamilton County, TN	2007	30.0
Hamilton County, TN	2008	44.0
Hamilton County, TN	2009	37.0
Hamilton County, TN	2010	32.0
Hamilton County, TN	2011	40.0
Hamilton County, TN	2012	60.0
Hamilton County, TN	2013	49.0
Hamilton County, TN	2014	55.0
Hamilton County, TN	2015	55.0
Hampshire County, WV	2015	11.0
Hancock County, OH	2011	10.0
Hancock County, OH	2014	11.0
Hancock County, OH	2015	13.0
Hancock County, WV	2007	11.0
Hancock County, WV	2010	10.0
Hancock County, WV	2013	13.0
Hancock County, WV	2014	15.0
Hancock County, WV	2015	13.0
Hardin County, OH	2006	10.0
Hardin County, OH	2013	10.0
Hardin County, TN	2013	15.0
Hardin County, TN	2014	10.0
Hardin County, TN	2015	11.0
Hardin County, TX	2005	10.0
Hardin County, TX	2009	11.0
Hardin County, TX	2010	11.0
Hardin County, TX	2012	11.0
Hardin County, TX	2014	10.0
Harris County, TX	2003	337.0
Harris County, TX	2004	385.0
Harris County, TX	2005	364.0
Harris County, TX	2006	427.0
Harris County, TX	2007	528.0
Harris County, TX	2008	326.0
Harris County, TX	2009	422.0
Harris County, TX	2010	445.0
Harris County, TX	2011	389.0
Harris County, TX	2012	366.0
Harris County, TX	2013	441.0
Harris County, TX	2014	411.0
Harris County, TX	2015	469.0
Harrison County, WV	2007	14.0
Harrison County, WV	2010	17.0
Harrison County, WV	2011	20.0
Harrison County, WV	2012	14.0
Harrison County, WV	2013	19.0
Harrison County, WV	2014	14.0
Harrison County, WV	2015	19.0
Hawkins County, TN	2006	10.0
Hawkins County, TN	2007	12.0
Hawkins County, TN	2009	12.0
Hawkins County, TN	2010	12.0
Hawkins County, TN	2011	21.0
Hawkins County, TN	2013	14.0
Hawkins County, TN	2015	14.0
Hays County, TX	2008	11.0
Hays County, TX	2010	16.0
Hays County, TX	2013	10.0
Hays County, TX	2015	14.0
Henderson County, TX	2008	10.0
Henderson County, TX	2010	10.0
Henderson County, TX	2014	13.0
Henderson County, TX	2015	13.0
Henry County, TN	2006	12.0
Hernando County, FL	2003	15.0
Hernando County, FL	2004	14.0
Hernando County, FL	2005	19.0
Hernando County, FL	2006	25.0
Hernando County, FL	2007	36.0
Hernando County, FL	2008	45.0
Hernando County, FL	2009	43.0
Hernando County, FL	2010	50.0
Hernando County, FL	2011	33.0
Hernando County, FL	2012	25.0
Hernando County, FL	2013	38.0
Hernando County, FL	2014	25.0
Hernando County, FL	2015	27.0
Hidalgo County, TX	2004	11.0
Hidalgo County, TX	2005	10.0
Hidalgo County, TX	2006	10.0
Hidalgo County, TX	2007	19.0
Hidalgo County, TX	2008	20.0
Hidalgo County, TX	2009	18.0
Hidalgo County, TX	2010	14.0
Hidalgo County, TX	2011	18.0
Hidalgo County, TX	2012	16.0
Hidalgo County, TX	2013	30.0
Hidalgo County, TX	2014	18.0
Hidalgo County, TX	2015	22.0
Highland County, OH	2014	12.0
Highland County, OH	2015	10.0
Highlands County, FL	2003	10.0
Highlands County, FL	2011	17.0
Highlands County, FL	2012	11.0
Highlands County, FL	2013	17.0
Highlands County, FL	2014	13.0
Hillsborough County, FL	2003	138.0
Hillsborough County, FL	2004	146.0
Hillsborough County, FL	2005	177.0
Hillsborough County, FL	2006	197.0
Hillsborough County, FL	2007	257.0
Hillsborough County, FL	2008	244.0
Hillsborough County, FL	2009	270.0
Hillsborough County, FL	2010	269.0
Hillsborough County, FL	2011	242.0
Hillsborough County, FL	2012	185.0
Hillsborough County, FL	2013	163.0
Hillsborough County, FL	2014	163.0
Hillsborough County, FL	2015	176.0
Hocking County, OH	2007	10.0
Hood County, TX	2013	10.0
Hopkins County, TX	2010	10.0
Hunt County, TX	2008	13.0
Hunt County, TX	2013	10.0
Huron County, OH	2013	14.0
Huron County, OH	2014	17.0
Huron County, OH	2015	10.0
Indian River County, FL	2003	10.0
Indian River County, FL	2004	10.0
Indian River County, FL	2005	15.0
